,Player ID,Player Name,Total (Overall),Highest Paying Game,Total (Game),% of Total
1.0,FalleN,Gabriel Toledo,"$1,066,974.03",Counter-Strike: Global Offensive,"$1,059,070.54",99.26%
2.0,TACO,EpitÃ¡cio de Melo,"$1,062,989.89",Counter-Strike: Global Offensive,"$1,062,989.89",100.00%
3.0,fer,Fernando Alvarenga,"$1,054,075.52",Counter-Strike: Global Offensive,"$1,053,170.54",99.91%
4.0,coldzera,Marcelo David,"$1,002,401.46",Counter-Strike: Global Offensive,"$1,002,401.46",100.00%
5.0,fnx,Lincoln Lau,"$424,984.20",Counter-Strike: Global Offensive,"$386,448.82",90.93%
6.0,boltz,Ricardo Prass,"$368,373.62",Counter-Strike: Global Offensive,"$368,373.62",100.00%
7.0,PVDDR,Paulo Damo da Rosa,"$337,800.00",Magic: The Gathering Arena,"$337,800.00",100.00%
8.0,felps,JoÃ£o Vasconcellos,"$318,291.87",Counter-Strike: Global Offensive,"$318,291.87",100.00%
9.0,GuiFera,Guilherme Fonseca,"$237,251.21",Pro Evolution Soccer 2017,"$206,000.00",86.83%
10.0,hen1,Henrique Teles,"$225,379.43",Counter-Strike: Global Offensive,"$224,474.45",99.60%
11.0,Lucas,Lucas Teles,"$209,985.12",Counter-Strike: Global Offensive,"$209,080.14",99.57%
12.0,Tavo,OtÃ¡vio Gabriel,"$183,430.13",Dota 2,"$183,430.13",100.00%
13.0,hFn,William Medeiros,"$183,270.25",Dota 2,"$183,270.25",100.00%
14.0,kNg,Vito Giuseppe,"$182,811.26",Counter-Strike: Global Offensive,"$182,033.58",99.57%
15.0,steel,Lucas Lopez,"$182,207.28",Counter-Strike: Global Offensive,"$182,207.28",100.00%
16.0,KinGRD,Danylo Nascimento,"$178,515.75",Dota 2,"$178,515.75",100.00%
17.0,Kelazhur,Diego Schwimer,"$156,267.14",StarCraft II,"$156,266.74",100.00%
18.0,arT,Andrei Piovezan,"$150,673.69",Counter-Strike: Global Offensive,"$150,673.69",100.00%
19.0,yuurih,Yuri Santos,"$148,749.66",Counter-Strike: Global Offensive,"$148,749.66",100.00%
20.0,VINI,Vinicius Figueiredo,"$146,591.07",Counter-Strike: Global Offensive,"$146,591.07",100.00%
21.0,kscerato,Kaike Cerato,"$145,062.42",Counter-Strike: Global Offensive,"$145,062.42",100.00%
22.0,vianna1,Carlos Vianna,"$144,579.96",CrossFire,"$144,579.96",100.00%
23.0,Adrf,Adriano Soares,"$140,000.00",CrossFire,"$140,000.00",100.00%
24.0,nottziN,- -,"$140,000.00",CrossFire,"$140,000.00",100.00%
25.0,Psycho,Gustavo Rigal,"$134,533.73",Rainbow Six Siege,"$134,533.73",100.00%
26.0,julio,JÃºlio Giacomelli,"$132,511.65",Rainbow Six Siege,"$130,024.80",98.12%
27.0,Nicks,Nicollas Polonio de Oliveira,"$131,200.00",Fortnite,"$131,200.00",100.00%
28.0,Kamikaze,JoÃ£o Gomes,"$130,533.73",Rainbow Six Siege,"$130,533.73",100.00%
29.0,leleo,Leonardo Arcanjo,"$129,737.40",Fortnite,"$129,700.00",99.97%
30.0,Duster,Heitor Pereira,"$121,780.70",Dota 2,"$121,780.70",100.00%
31.0,Zezinho23,Henrique Lempke,"$115,500.00",FIFA 20,"$57,500.00",49.78%
32.0,Kurtz,Henrique Kurtz,"$112,375.00",Fortnite,"$112,375.00",100.00%
33.0,pino,Gabriel Fernandes,"$110,843.29",Rainbow Six Siege,"$110,052.48",99.29%
34.0,mnd,Rafael Mendes,"$107,614.02",CrossFire,"$107,614.02",100.00%
35.0,Muzi,Murilo Muzi,"$106,052.48",Rainbow Six Siege,"$106,052.48",100.00%
36.0,Wisheydp,Caio Rios,"$105,800.00",Fortnite,"$105,800.00",100.00%
37.0,nesk,AndrÃ© Oliveira,"$105,057.98",Rainbow Six Siege,"$105,057.98",100.00%
38.0,DANIMAL,Daniel Polidoro,"$104,579.96",CrossFire,"$104,579.96",100.00%
39.0,wil,Willian Bello,"$104,579.96",CrossFire,"$104,579.96",100.00%
40.0,Ryuzao,Deivison Cruz,"$101,000.00",CrossFire,"$101,000.00",100.00%
41.0,mazin,Matheus AraÃºjo,"$100,442.39",CrossFire,"$100,442.39",100.00%
42.0,dgz,Douglas Silva,"$100,000.00",CrossFire,"$100,000.00",100.00%
43.0,Lukaum,Lukas Rodrigues,"$100,000.00",CrossFire,"$100,000.00",100.00%
44.0,drakoNz,Igor Fernandes Theophilo Amorim,"$96,563.80",Fortnite,"$96,563.80",100.00%
45.0,xS3xyCake,Thiago Reis,"$96,034.64",Rainbow Six Siege,"$95,884.64",99.84%
46.0,HSnamuringa,JoÃ£o Deam,"$89,673.83",Rainbow Six Siege,"$89,673.83",100.00%
47.0,4dr,Adriano Machado,"$88,856.08",Dota 2,"$88,856.08",100.00%
48.0,Lelis,Rodrigo Santos,"$84,969.81",Dota 2,"$84,969.81",100.00%
49.0,yeL,Gustavo Knittel,"$83,198.64",Counter-Strike: Global Offensive,"$83,198.64",100.00%
50.0,SHOOWTiME,Gustavo GonÃ§alves,"$82,748.70",Counter-Strike: Global Offensive,"$82,748.70",100.00%
51.0,Paluh,Luccas Molina,"$78,159.92",Rainbow Six Siege,"$78,159.92",100.00%
52.0,psk1,Paulo Augusto,"$77,434.47",Rainbow Six Siege,"$77,434.47",100.00%
53.0,Atchiin,- -,"$76,250.00",Fortnite,"$66,250.00",86.89%
54.0,ablej9,Rinaldo Moda Junior,"$74,661.12",Counter-Strike: Global Offensive,"$74,568.27",99.88%
55.0,Arms,Danilo JosÃ© da Silva,"$69,058.30",Dota 2,"$69,058.30",100.00%
56.0,mav,Rafael Freitas,"$68,044.73",Rainbow Six Siege,"$65,557.88",96.35%
57.0,Jschritte,Juan Schritte,"$67,905.52",Heroes of the Storm,"$44,205.52",65.10%
58.0,cameram4n,Gabriel Hespanhol,"$67,407.88",Rainbow Six Siege,"$67,407.88",100.00%
59.0,Astro,Leonardo Buzzachera,"$67,307.88",Rainbow Six Siege,"$67,307.88",100.00%
60.0,Lasers,Pedro Kaique Souza Carvalho,"$66,525.00",Fortnite,"$66,525.00",100.00%
61.0,pfzin,Pedro Figueiredo SÃ© de Freitas,"$65,775.00",Fortnite,"$65,775.00",100.00%
62.0,nak,Renato Nakano,"$63,781.96",Counter-Strike,"$36,979.04",57.98%
63.0,Fifilza,- -,"$63,250.00",FIFA 20,"$32,000.00",50.59%
64.0,bit,Bruno Lima,"$62,907.36",Counter-Strike,"$32,333.75",51.40%
65.0,Resende,Pedro Henrique Soares,"$62,750.00",FIFA 19,"$38,250.00",60.96%
66.0,Hydration,JoÃ£o Pedro Telles,"$61,460.24",Overwatch,"$61,460.24",100.00%
67.0,GusTavox8,Gustavo Lossio,"$58,600.00",Fortnite,"$58,600.00",100.00%
68.0,NEKiZ,Gabriel Schenato,"$57,996.21",Counter-Strike: Global Offensive,"$57,996.21",100.00%
69.0,Frosty,- -,"$56,725.00",Fortnite,"$56,725.00",100.00%
70.0,Bullet1,JosÃ© Victor,"$56,511.89",Rainbow Six Siege,"$56,511.89",100.00%
71.0,yoona,JoÃ£o Gabriel,"$54,490.22",Rainbow Six Siege,"$54,490.22",100.00%
72.0,Carlos RomÃ£o,Carlos RomÃ£o,"$53,600.00",Magic: The Gathering Arena,"$28,600.00",53.36%
73.0,PKL,Vinicios Coelho,"$53,585.66",Counter-Strike: Global Offensive,"$53,585.66",100.00%
74.0,brTT,Felipe GonÃ§alves,"$53,367.38",League of Legends,"$52,967.38",99.25%
75.0,trk,Alencar Rossato,"$51,886.30",Counter-Strike: Global Offensive,"$51,886.30",100.00%
76.0,pANcada,Bryan Luna,"$49,592.39",CrossFire,"$48,442.39",97.68%
77.0,ziG,Leo Duarte,"$49,198.06",Rainbow Six Siege,"$48,748.06",99.09%
78.0,Cyb3r,Jaime Ramos,"$48,610.93",Rainbow Six Siege,"$48,610.93",100.00%
79.0,Novys,Daniel Novy,"$48,610.93",Rainbow Six Siege,"$48,610.93",100.00%
80.0,Thiolicor,Thiago Cordeiro,"$45,776.87",Dota 2,"$45,776.87",100.00%
81.0,zews,Wilton Prado,"$44,677.73",Counter-Strike: Global Offensive,"$44,400.35",99.38%
82.0,King,Bryan Eric Nunes,"$44,450.00",Fortnite,"$44,450.00",100.00%
83.0,cogu,Raphael Camargo,"$43,425.94",Counter-Strike,"$38,296.50",88.19%
84.0,BlackoutZ,Patrick Garcia da Silva,"$42,888.80",Fortnite,"$42,888.80",100.00%
85.0,Master,Gabriel Marques,"$42,850.00",Fortnite,"$42,850.00",100.00%
86.0,c4t,Emiliano Ito,"$42,158.04",Dota 2,"$42,158.04",100.00%
87.0,mch,Jean-Michel D'Oliveira,"$42,066.80",Counter-Strike: Global Offensive,"$39,286.86",93.39%
88.0,Fixa,Carlos CÃ©sar -,"$41,719.19",Free Fire,"$41,719.19",100.00%
89.0,Level Up 007,Samuel Lima,"$41,719.19",Free Fire,"$41,719.19",100.00%
90.0,Pires,- -,"$41,719.19",Free Fire,"$41,719.19",100.00%
91.0,chelo,Marcelo Cespedes,"$41,461.24",Counter-Strike: Global Offensive,"$41,461.24",100.00%
92.0,Vini,- -,"$41,200.00",FIFA 19,"$23,700.00",57.52%
93.0,Nobru,Bruno -,"$40,875.00",Free Fire,"$40,875.00",100.00%
94.0,Japa,Genildo AndrÃ© -,"$40,844.19",Free Fire,"$40,844.19",100.00%
95.0,MKing,Lucca Coser,"$40,301.89",Rainbow Six Siege,"$40,301.89",100.00%
96.0,Goken,- -,"$40,000.00",CrossFire,"$40,000.00",100.00%
97.0,Revolta,Gabriel Henud,"$39,983.40",League of Legends,"$39,983.40",100.00%
98.0,iDk,Victor Torraca,"$39,265.43",Counter-Strike: Global Offensive,"$39,265.43",100.00%
99.0,technoviking46,Gustavo Trevisan,"$39,200.00",Fortnite,"$39,200.00",100.00%
100.0,Maluk3,Pedro Campos,"$38,368.86",Counter-Strike: Global Offensive,"$37,177.02",96.89%
